	environmental information processing	human diseases	metabolism 	genetic information processing	cellular processes	organismal systems	metabolism
DLM007	0.08736537725645825	0.0034389973868799023	0.001187143967716549	0.13793121910882652	0.01755236038152153	0.0008464522275036527	0.7516784496710937
DLM008	0.09177285747113363	0.003872838995281265	0.0008625410942985361	0.1381869642831621	0.02359755758120731	0.0006532277460865614	0.7410540128288307
DLM009	0.11696678056456987	0.005981431257639288	0.0006220610124911757	0.13874577788215628	0.03688268220595321	0.00033811047516219125	0.7004631566020281
DLM010	0.10126808924490166	0.006394139873605132	0.0010284789014841536	0.11963394555473722	0.016637209697221884	0.0005213951429003743	0.7545167415851496
DLM011	0.08359980146600604	0.0042340100909029335	0.001459355742907941	0.12562595093806259	0.015095882835263913	0.0006450580536865369	0.76933994087317
DLM012	0.10386628609048461	0.004773276699735507	0.0004840416933868564	0.14622126497549798	0.015594863551645296	0.0004653310283141226	0.7285949359609356
DLM013	0.08840364592292255	0.004368208194222944	0.0011717743461799686	0.13954124267105056	0.015273161724607276	0.0008690469204120829	0.7503729202206045
DLM014	0.07795969007387064	0.0040184997869907365	0.0009826913991054494	0.13050485030265782	0.02021928498595695	0.000973294448680538	0.7653416890027379
DLM015	0.08376088777959585	0.004044354249404116	0.001127361858080302	0.12167954930488771	0.020692117308963465	0.001091335378128748	0.7676043941209398
DLM016	0.0839905383726569	0.003928320727353213	0.0009993548861102499	0.128632892193012	0.016281977081415117	0.0010544048743209137	0.7651125118651316
DLM017	0.07936709556742307	0.004004582459920056	0.0014189307498009584	0.13681518834829895	0.01965758599284094	0.0013986471352419392	0.7573379697464743
DLM018	0.08490469981226599	0.004067453117042976	0.0008134853552739408	0.14450023144225926	0.022813596867740753	0.0008448210897478208	0.7420557123156692
DLM019	0.09314865521974222	0.0035201414804657077	0.0009819766105717777	0.15933356514330582	0.017081388232772686	0.0011189019825416867	0.7248153713306001
DLM020	0.07792130568047019	0.0037131038639182357	0.0015948607653112473	0.1195489437001365	0.01863608549331243	0.0009098360229669134	0.7776758644738845
DLM021	0.08109297544297121	0.004075667543468727	0.0012123928228255077	0.12623463844669738	0.01724012895655672	0.0008059859159363155	0.7693382108715441
DLM022	0.09650583774556497	0.0038621934978837723	0.0008028492072177849	0.16580472555171988	0.021748049978095867	0.0011788843121668343	0.7100974597073509
DLM023	0.09805023407587989	0.0031820495727117233	0.001282548324334442	0.12869054185964068	0.01644437309070534	0.0005478639297344777	0.7518023891469934
DLM024	0.15968591829980747	0.0073334586122092	0.0014057743626250388	0.09680789166480432	0.03146258380290165	0.001509331935917548	0.7017950413217349
DLM027	0.08934669066474278	0.004705038020202262	0.001207478257050898	0.14203072014226678	0.019256207584950388	0.0005546923805117368	0.7428991729502752
DLM028	0.10234841866582431	0.005328208274468192	0.0011882194921317875	0.12953608459635046	0.025395444282131256	0.0010490768199986397	0.7351545478690954
DOF002	0.0921078085373281	0.0040538974764938295	0.0010284472627249302	0.17642662668672895	0.021544140289772553	0.0007488804501511727	0.7040901992968005
DOF003	0.08643797624203617	0.004584747314310446	0.0013163910495406508	0.13232734893041864	0.02301576715783509	0.0007572245296299664	0.7515605447762289
DOF004	0.09206430111875057	0.004259488927431546	0.0010492345845116633	0.12694286709125943	0.023382443628004883	0.0007612145287465681	0.7515404501212953
DOF006	0.07812680034222268	0.0035475717947052324	0.001637949378281659	0.11058080570632087	0.014291480271665241	0.000986716216807361	0.790828676289997
DOF007	0.07557660646121621	0.0034948590061931717	0.0012133154279439225	0.14185227007509973	0.016764004172619786	0.000930410223035815	0.7601685346338914
DOF008	0.10829943659642752	0.004616884905261871	0.0007749634207323885	0.14037773311038454	0.019157124532749075	0.00036134782306514646	0.7264125096113795
DOF009	0.08589344091539296	0.003752729116349057	0.0010740104312691374	0.13215493792098748	0.017210689556186022	0.00071174121320974	0.7592024508466055
DOF010	0.11016550714989966	0.004938436035547485	0.0012805419293933143	0.1254145010888494	0.022748648712299743	0.0009357513338230127	0.7345166137501875
DOF011	0.08389075665925338	0.004200893164046508	0.0012491005031775313	0.13166442327716088	0.017845301388360265	0.0007500494087230091	0.7603994755992785
DOF012	0.10786372687952121	0.004576333062003764	0.0016192697124905145	0.1427774797305459	0.01586825735367407	0.0006287551620713043	0.7266661780996934
