	nucleotide metabolism	metabolism of terpenoids and polyketides	glycan biosynthesis and metabolism	metabolism of other secondary metabolites	biosynthesis of other secondary metabolites	lipid metabolism	energy metabolism	metabolism of other amino acids	metabolism of cofactors and vitamins	xenobiotics biodegradation and metabolism	amino acid metabolism	carbohydrate metabolism
T2D-058	0.03878924693583513	0.026382690708706132	0.05096234968519385	5.97637669415284e-06	0.07011105605570653	0.039587827599411284	0.1223874669223225	0.032668293909666996	0.09602274157920156	0.06654905909814283	0.17377557106664443	0.28275772006247457
T2D-084	0.04197649609864688	0.025423043476107788	0.04947689952662087	3.519671136358188e-06	0.06916296575858731	0.04357816869546491	0.12703242195836445	0.030671331948492985	0.08838789092993722	0.06803842240840523	0.177722143265438	0.2785266962627979
T2D-059	0.042394462183740454	0.026011834927973817	0.0509279548169581	0.0	0.070139094696613	0.04216147713766171	0.12566825237330354	0.03347811576335773	0.09330202100559282	0.0680604050915769	0.16919015360605735	0.27866622839716465
T2D-030	0.04460915000697979	0.02520980186634134	0.04240192614845184	1.3294454137737231e-06	0.07010137999752229	0.04249176093731562	0.13071455949528088	0.031954430830453906	0.09367009815958961	0.06494237967347927	0.18111300646106826	0.2727901769781035
T2D-005	0.038165554486824356	0.02719449488976713	0.04438037917243597	8.360976102456933e-07	0.06687118905045776	0.042535896831191494	0.12421875940435229	0.03580113097328077	0.0952058508240559	0.07407675924209778	0.1699300035078381	0.28161914552008815
T2D-031	0.03810375009425804	0.02741853642554867	0.060756782911187225	0.0	0.06870441602320812	0.03763722098182294	0.1252512521373272	0.03297695099529484	0.09522127338210684	0.06422030717472425	0.16824067206682092	0.28146883780770093
T2D-085	0.04829623244812719	0.02542994009917108	0.042550935389569666	8.987261362310669e-06	0.07404075545063533	0.04594329466869853	0.13273593396195021	0.03285575359211297	0.08158706257673007	0.07009582398503679	0.1728847035442232	0.27357057702238263
T2D-086	0.048903859704678435	0.027958196374192078	0.05346010862954687	0.0	0.0808904885677259	0.034774576394065525	0.12154228404669505	0.03391016402665193	0.09523221369286952	0.05206062490866123	0.1761099077399941	0.2751575759149195
T2D-006	0.04764574488416044	0.030509880276617097	0.046260041867365556	4.6303207185606674e-07	0.07934361617691066	0.03616547313560754	0.1263992947325262	0.036590900029103035	0.09130806389039715	0.0518893492475714	0.17186812992071193	0.2820190428069571
T2D-007	0.04281227231188708	0.027104390956501627	0.04993306593801185	4.2517388969892014e-07	0.07234934595807947	0.03933259151667845	0.11934141993139866	0.032836484607514003	0.10138371778959979	0.05878530009417016	0.17743823542454482	0.27868275029772427
